"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"148","Bethesda Softworks",377160,8500000,"Fallout 4",2015,"Single-player",19.99,0.71,0.84,1,1
"149","Bethesda Softworks",611660,6e+05,"Fallout 4 VR",2017,"Single-player",39.99,0.69,0.78,1,1
"150","Bethesda Softworks",614570,1700000,"Dishonored®: Death of the Outsider™",2017,"Single-player",19.99,0.84,0.81,1,1
"151","Bethesda Softworks",268050,2400000,"The Evil Within",2014,"Single-player",14.99,0.82,0.68,1,1
"152","Bethesda Softworks",72850,11400000,"The Elder Scrolls V: Skyrim",2011,"Single-player",9.99,0.94,0.94,1,1
"153","Bethesda Softworks",2210,910000,"Quake IV",2011,"Single-player Multi-player",12.99,0.84,0.81,0,1
"154","Bethesda Softworks",22380,8e+06,"Fallout: New Vegas",2010,"Single-player",7.99,0.95,0.84,1,1
"155","Bethesda Softworks",489830,8400000,"The Elder Scrolls V: Skyrim Special Edition",2016,"Single-player",29.99,0.76,0.74,1,1
"156","Bethesda Softworks",612880,2300000,"Wolfenstein II: The New Colossus",2017,"Single-player",39.99,0.72,0.86,1,1
"157","Bethesda Softworks",9200,3100000,"RAGE",2011,"Single-player Multi-player",7.99,0.77,0.79,0,1
"158","Bethesda Softworks",38420,3e+06,"Fallout Tactics: Brotherhood of Steel",2009,"Single-player Multi-player",7.99,0.8,0.82,0,1
"159","Bethesda Softworks",38400,7700000,"Fallout: A Post Nuclear Role Playing Game",2015,"Single-player",7.99,0.92,0.89,1,1
"160","Bethesda Softworks",22370,4400000,"Fallout 3: Game of the Year Edition",2009,"Single-player",14.99,0.8,0.91,1,1
"161","Bethesda Softworks",601430,1300000,"The Evil Within 2",2017,"Single-player",39.99,0.92,0.8,1,1
"162","Bethesda Softworks",205100,6500000,"Dishonored",2012,"Single-player",7.99,0.97,0.91,1,1
"163","Bethesda Softworks",22350,2900000,"BRINK",2011,"Single-player Multi-player",0,0.6,0.7,0,1
"164","Bethesda Softworks",22330,3900000,"The Elder Scrolls IV: Oblivion® Game of the Year Edition",2009,"Single-player",12.99,0.94,0.94,1,1
"165","Bethesda Softworks",588430,6e+06,"Fallout Shelter",2017,"Single-player",0,0.86,0.63,1,1
"166","Bethesda Softworks",38410,3300000,"Fallout 2: A Post Nuclear Role Playing Game",2009,"Single-player",7.99,0.94,0.86,1,1
"167","Bethesda Softworks",611670,790000,"The Elder Scrolls V: Skyrim VR",2018,"Single-player",39.99,0.84,0.81,1,1
"168","Bethesda Softworks",650000,270000,"DOOM VFR",2017,"Single-player",19.99,0.58,0.69,1,1
"169","Bethesda Softworks",403640,3600000,"Dishonored 2",2016,"Single-player",29.99,0.81,0.86,1,1
"170","Bethesda Softworks",22320,2700000,"The Elder Scrolls III: Morrowind® Game of the Year Edition",2009,"Single-player",12.99,0.95,0.89,1,1
"171","Bethesda Softworks",22300,1900000,"Fallout 3",2008,"Single-player",7.99,0.79,0.91,1,1
"172","Bethesda Softworks",350080,2900000,"Wolfenstein: The Old Blood",2015,"Single-player",14.99,0.88,0.76,1,1
"173","Bethesda Softworks",379720,7400000,"DOOM",2016,"Single-player Multi-player",14.99,0.93,0.85,0,1
"174","Big Robot Ltd",242880,2700000,"Sir, You Are Being Hunted",2014,"Single-player Multi-player",14.99,0.79,0.63,0,0
"175","Bigben Interactive",350640,2500000,"Sherlock Holmes: The Devil's Daughter",2016,"Single-player",29.99,0.74,0.65,1,1
"176","Bit Blot, LLC",24420,1600000,"Aquaria",2008,"Single-player",6.99,0.88,0.82,1,0
"177","Bitbox Ltd.",290080,1200000,"Life is Feudal: Your Own",2015,"Multi-player",15.49,0.64,0.63,0,0
"178","Bithell Games",676820,7e+05,"Subsurface Circular",2017,"Single-player",4.79,0.95,0.83,1,0
"179","Bithell Games",220780,3200000,"Thomas Was Alone",2012,"Single-player",5.99,0.94,0.77,1,0
"180","Black Pants Studio",205910,3e+06,"Tiny and Big: Grandpa's Leftovers",2012,"Single-player",6.99,0.92,0.75,1,0
"181","Black Shell Media",383230,1100000,"Dungeon Souls",2016,"Single-player Local",10.29,0.74,0.67,0,0
"182","Black Shell Media",343100,2500000,"Overture",2015,"Single-player",3.99,0.79,0.76,1,0
"183","Blazing Griffin",638070,4100000,"Murderous Pursuits",2018,"Single-player Multi-player Online Multi-Player Local Multi-Player",7.99,0.61,0.63,0,0
"184","Blazing Griffin Ltd.",2400,5400000,"The Ship: Murder Party",2006,"Single-player Multi-player",0,0.86,0.76,0,1
"185","Blendo Games",55040,1500000,"Atom Zombie Smasher",2011,"Single-player",6.99,0.89,0.75,1,0
