"","steam_ds.appid"
"1801",463150
"1802",463270
"1803",463530
"1804",464060
"1805",464340
"1806",464920
"1807",465520
"1808",466240
"1809",466300
"1810",466500
"1811",466560
"1812",466910
"1813",467960
"1814",468530
"1815",468560
"1816",468920
"1817",469600
"1818",469820
"1819",470220
"1820",470260
"1821",471550
"1822",471710
"1823",473690
"1824",473740
"1825",473770
"1826",474750
"1827",474960
"1828",475150
"1829",475190
"1830",475550
"1831",476600
"1832",477160
"1833",477770
"1834",480430
"1835",480490
"1836",480650
"1837",482920
"1838",483980
"1839",484950
"1840",485310
"1841",485380
"1842",485510
"1843",485610
"1844",485980
"1845",486310
"1846",487120
"1847",487220
"1848",487430
"1849",487720
"1850",488310
"1851",488440
"1852",488790
"1853",489360
"1854",489520
"1855",489630
"1856",489830
"1857",489940
"1858",491130
"1859",491530
"1860",491950
"1861",492720
"1862",493200
"1863",493340
"1864",493490
"1865",493900
"1866",495890
"1867",495910
"1868",496240
"1869",496300
"1870",496460
"1871",496890
"1872",497180
"1873",497640
"1874",498240
"1875",499440
"1876",499520
"1877",500710
"1878",501080
"1879",501300
"1880",501590
"1881",502280
"1882",502500
"1883",502550
"1884",502800
"1885",503300
"1886",503560
"1887",503940
"1888",504210
"1889",504230
"1890",504370
"1891",505170
"1892",505460
"1893",506140
"1894",506610
"1895",507010
"1896",507490
"1897",508190
"1898",508440
"1899",509220
"1900",510050
"1901",511470
"1902",511680
"1903",511740
"1904",511800
"1905",512250
"1906",512470
"1907",512790
"1908",512900
"1909",513000
"1910",513230
"1911",513450
"1912",513510
"1913",513560
"1914",513710
"1915",513780
"1916",514900
"1917",515040
"1918",515220
"1919",516750
"1920",517630
"1921",517710
"1922",518030
"1923",518580
"1924",518790
"1925",519140
"1926",519190
"1927",519860
"1928",520440
"1929",520530
"1930",521890
"1931",523210
"1932",523780
"1933",524220
"1934",524580
"1935",525480
"1936",525510
"1937",526160
"1938",526740
"1939",527100
"1940",527230
"1941",527270
"1942",527430
"1943",528230
"1944",529110
"1945",529180
"1946",529780
"1947",530330
"1948",530620
"1949",530630
"1950",530700
"1951",530890
"1952",531510
"1953",531640
"1954",532110
"1955",532210
"1956",532840
"1957",533300
"1958",533540
"1959",533780
"1960",535230
"1961",535480
"1962",535930
"1963",536930
"1964",537110
"1965",537180
"1966",537340
"1967",537800
"1968",538100
"1969",538680
"1970",540610
"1971",540840
"1972",541300
"1973",541570
"1974",542310
"1975",542340
"1976",543460
"1977",543900
"1978",544550
"1979",544730
"1980",544750
"1981",544920
"1982",545250
"1983",546050
"1984",546390
"1985",547680
"1986",547860
"1987",548430
"1988",550010
"1989",550470
"1990",550650
"1991",550840
"1992",550900
"1993",551730
"1994",552100
"1995",552500
"1996",552520
"1997",552590
"1998",552620
"1999",552700
"2000",552990
"2001",553310
"2002",553640
"2003",554620
"2004",555150
"2005",555160
"2006",555210
"2007",555220
"2008",555570
"2009",555880
"2010",557400
"2011",557600
"2012",558100
"2013",558420
"2014",558990
"2015",559100
"2016",559210
"2017",559610
"2018",559650
"2019",560130
"2020",560260
"2021",560380
"2022",562010
"2023",562220
"2024",562810
"2025",563560
"2026",564230
"2027",564710
"2028",566090
"2029",566160
"2030",566990
"2031",567640
"2032",568090
"2033",568220
"2034",568570
"2035",568770
"2036",569480
"2037",569860
"2038",570460
"2039",570780
"2040",570840
"2041",570940
"2042",571260
"2043",571310
"2044",571740
"2045",572410
"2046",573100
"2047",574980
"2048",575550
"2049",575640
"2050",575720
"2051",576770
"2052",577800
"2053",577940
"2054",578080
"2055",578310
"2056",578330
"2057",578620
"2058",579180
"2059",579950
"2060",581320
"2061",581630
"2062",582010
"2063",582160
"2064",582270
"2065",582500
"2066",582550
"2067",582660
"2068",583470
"2069",583950
"2070",584400
"2071",584980
"2072",585420
"2073",585550
"2074",586030
"2075",586140
"2076",587620
"2077",588430
"2078",588650
"2079",588690
"2080",588970
"2081",589290
"2082",589360
"2083",589590
"2084",589780
"2085",589870
"2086",590380
"2087",591420
"2088",591740
"2089",591960
"2090",593200
"2091",593280
"2092",593600
"2093",594570
"2094",594650
"2095",595140
"2096",595280
"2097",595520
"2098",597170
"2099",597220
"2100",598700
"2101",599140
"2102",599390
"2103",599460
"2104",601150
"2105",601430
"2106",601510
"2107",602520
"2108",603850
"2109",604450
"2110",604490
"2111",606150
"2112",606280
"2113",606800
"2114",607050
"2115",607200
"2116",607260
"2117",607890
"2118",609320
"2119",610080
"2120",610360
"2121",611500
"2122",611660
"2123",611670
"2124",611790
"2125",612020
"2126",612070
"2127",612880
"2128",613100
"2129",614570
"2130",615610
"2131",616110
"2132",616560
"2133",617160
"2134",617830
"2135",619780
"2136",619910
"2137",620590
